Results Table 1
,Specimen number (included),Specimen label,Diameter,Support span,Maximum Force
,,,(mm),(mm),(N)
"331","331","uncoated","8.03","50.80","610.41"
"332","332","uncoated","8.03","50.80","459.93"
"333","333","uncoated","8.03","50.80","369.15"
"334","334","uncoated","8.03","50.80","701.06"
"335","335","uncoated","8.03","50.80","423.50"
"336","336","uncoated","8.03","50.80","429.16"
"337","337","uncoated","7.92","50.80","1052.13"
"338","338","uncoated","7.92","50.80","459.89"
"339","339","uncoated","7.92","50.80","345.02"
"340","340","uncoated","7.92","50.80","665.51"
"341","341","uncoated","7.92","50.80","624.31"
"342","342","uncoated","7.92","50.80","483.78"
"343","343","coated","3.91","50.80","92.62"
"344","344","coated","3.91","50.80","127.04"
"345","345","coated","3.94","50.80","109.26"
"346","346","coated","3.94","50.80","64.57"
"347","347","coated","4.04","50.80","102.04"
"348","348","coated","4.06","50.80","107.05"
"349","349","coated","4.04","50.80","103.62"
"350","350","coated","4.01","50.80","87.13"
"351","351","coated","4.04","50.80","71.35"
"352","352","coated","8.03","50.80","828.68"
"353","353","coated","8.03","50.80","550.30"
"354","354","coated","8.03","50.80","654.12"
"355","355","coated","8.03","50.80","603.44"
"356","356","coated","8.03","50.80","553.51"
"357","357","coated","8.08","50.80","861.85"
"358","358","coated","8.08","50.80","810.56"
"359","359","coated","8.08","50.80","571.43"
"360","360","coated","8.08","50.80","641.16"
"361","361","coated","8.08","50.80","451.89"
"362","362","coated","8.08","50.80","956.30"
"363","363","coated","4.01","50.80","101.98"
"364","364","coated","3.91","50.80","109.11"
"365","365","uncoated","4.01","50.80","85.92"
"366","366","uncoated","3.96","50.80","88.13"
"367","367","uncoated","3.99","50.80","110.02"
"368","368","uncoated","3.97","50.80","118.58"
"369","369","uncoated","3.97","50.80","66.50"
"370","370","uncoated","3.97","50.80","117.28"
"371","371","coated","8.03","50.80","99.96"
"372","372","uncoated","3.97","50.80","659.13"
"373","373","uncoated","3.97","50.80","611.78"
"374","374","uncoated","3.97","50.80","383.60"
"375","375","uncoated","3.97","50.80","593.66"
"376","376","uncoated","3.97","50.80","711.15"
"377","377","uncoated","3.97","50.80","603.18"
"378","378","uncoated","3.97","50.80","650.94"
"379","379","uncoated","3.97","50.80","696.12"
"380","380","uncoated","3.97","50.80","900.72"
"381","381","uncoated","3.97","50.80","531.20"
"382","382","uncoated","3.97","50.80","885.10"
"383","383","uncoated","3.97","50.80","76.32"
"384","384","uncoated","3.97","50.80","105.95"
"385","385","uncoated","3.97","50.80","71.87"
"386","386","uncoated","3.97","50.80","46.95"
"387","387","uncoated","3.97","50.80","82.65"
"388","388","uncoated","3.97","50.80","50.32"
"389","389","uncoated","3.97","50.80","74.55"
"390","390","uncoated","3.97","50.80","89.65"
"391","391","uncoated","3.97","50.80","463.75"
"392","392","uncoated","3.97","50.80","631.61"
"393","393","uncoated","3.97","50.80","591.45"
"394","394","uncoated","3.97","50.80","655.74"
"395","395","uncoated","3.97","50.80","662.41"
"396","396","uncoated","3.97","50.80","861.95"
"397","397","uncoated","3.97","50.80","656.89"
"398","398","uncoated","3.97","50.80","735.38"
"399","399","uncoated","3.97","50.80","524.46"
"400","400","uncoated","3.97","50.80","596.29"

1,Time,Displacement,Force
,(s),(mm),(kN)
"","0.0000","0.0000","0.0002"
"","0.0200","0.0000","-0.0002"
"","0.0400","0.0001","-0.0005"
"","0.0600","0.0005","-0.0005"
"","0.0800","0.0012","0.0002"
"","0.1000","0.0034","0.0004"
"","0.1200","0.0059","0.0002"
"","0.1400","0.0072","0.0001"
"","0.1600","0.0087","-0.0003"
"","0.1800","0.0119","-0.0006"
"","0.2000","0.0173","-0.0004"
"","0.2200","0.0240","0.0002"
"","0.2400","0.0310","0.0005"
"","0.2600","0.0372","0.0003"
"","0.2800","0.0425","0.0000"
"","0.3000","0.0469","-0.0004"
