Results Table 1
,Specimen label,Thickness,Width,Length,Rate 1
,,(mm),(mm),(mm),(mm/min)
"1","LDPE 1IN/MIN","3.33","13.26","95.25","25.40"
"2","LDPE 5IN/MIN","3.30","13.00","87.12","127.00"
"3","LDPE 20IN/MIN","3.30","13.00","90.42","508.00"

Results Table 2


1,Time,Displacement,Force
,(s),(mm),(kN)
"","10.9000","4.5882","0.3877"
"","10.9200","4.5965","0.3881"
"","10.9400","4.6050","0.3881"
"","10.9600","4.6135","0.3885"
"","10.9800","4.6219","0.3887"
"","11.0000","4.6301","0.3891"
"","11.0200","4.6385","0.3893"
"","11.0400","4.6471","0.3896"
"","11.0600","4.6559","0.3899"
"","11.0800","4.6647","0.3905"
"","11.1000","4.6731","0.3909"
"","11.1200","4.6814","0.3912"
"","11.1400","4.6897","0.3911"
"","11.1600","4.6981","0.3915"
"","11.1800","4.7067","0.3919"
"","11.2000","4.7151","0.3922"
"","11.2200","4.7235","0.3923"
"","11.2400","4.7318","0.3927"
"","11.2600","4.7404","0.3930"
"","11.2800","4.7492","0.3936"
"","11.3000","4.7579","0.3936"
"","11.3200","4.7665","0.3940"
"","11.3400","4.7748","0.3941"
"","11.3600","4.7831","0.3945"
"","11.3800","4.7916","0.3946"
"","11.4000","4.8002","0.3950"
"","11.4200","4.8087","0.3952"
"","11.4400","4.8170","0.3955"
"","11.4600","4.8252","0.3955"
"","11.4800","4.8334","0.3959"
"","11.5000","4.8421","0.3961"
"","11.5200","4.8509","0.3967"
"","11.5400","4.8596","0.3970"
"","11.5600","4.8680","0.3973"
"","11.5800","4.8762","0.3974"
"","11.6000","4.8845","0.3977"
"","11.6200","4.8929","0.3979"
"","11.6400","4.9013","0.3982"
"","11.6600","4.9097","0.3984"
"","11.6800","4.9180","0.3989"
"","11.7000","4.9263","0.3991"
"","11.7200","4.9349","0.3994"
"","11.7400","4.9437","0.3997"
"","11.7600","4.9525","0.4001"
"","11.7800","4.9611","0.4003"
"","11.8000","4.9694","0.4004"
"","11.8200","4.9777","0.4006"
"","11.8400","4.9861","0.4010"
"","11.8600","4.9946","0.4012"
"","11.8800","5.0030","0.4015"
"","11.9000","5.0113","0.4016"
"","11.9200","5.0195","0.4018"
"","11.9400","5.0279","0.4021"
"","11.9600","5.0366","0.4025"
"","11.9800","5.0455","0.4027"
"","12.0000","5.0542","0.4029"
"","12.0200","5.0627","0.4033"
"","12.0400","5.0709","0.4036"
"","12.0600","5.0793","0.4037"
"","12.0800","5.0878","0.4040"
"","12.1000","5.0963","0.4043"
"","12.1200","5.1047","0.4045"
"","12.1400","5.1129","0.4047"
"","12.1600","5.1212","0.4048"
"","12.1800","5.1298","0.4052"
"","12.2000","5.1386","0.4056"
"","12.2200","5.1475","0.4060"
"","12.2400","5.1561","0.4061"
"","12.2600","5.1642","0.4061"
"","12.2800","5.1724","0.4063"
"","12.3000","5.1808","0.4067"
"","12.3200","5.1892","0.4068"
"","12.3400","5.1976","0.4070"
"","12.3600","5.2058","0.4072"
"","12.3800","5.2140","0.4075"
"","12.4000","5.2225","0.4078"
"","12.4200","5.2313","0.4082"
"","12.4400","5.2403","0.4086"
"","12.4600","5.2491","0.4091"
"","12.4800","5.2575","0.4092"
"","12.5000","5.2657","0.4092"
"","12.5200","5.2741","0.4093"
"","12.5400","5.2826","0.4096"
"","12.5600","5.2910","0.4098"
"","12.5800","5.2993","0.4103"
"","12.6000","5.3074","0.4104"
"","12.6200","5.3158","0.4106"
"","12.6400","5.3245","0.4106"
"","12.6600","5.3334","0.4110"
"","12.6800","5.3423","0.4112"
